town_name,latitude,longitude,population_density,urbanization_index,temperature,humidity,precipitation_last_24h,precipitation_last_7d,wind_speed,wind_direction,days_since_last_rain,avg_temp_past_week,max_temp_past_week,storm_warning_flag,elevation,slope,aspect,distance_to_water,impervious_surface_ratio,vegetation_density,soil_type,soil_moisture,surface_runoff,streamflow_index,drought_index,recent_fire_flag,fire_risk_score,flood_risk_score,hazard_class
Ronkonkoma,40.6647,-73.3549,6108.5508,0.9943,66.0799,100.0,0.3744,28.2586,9.7758,NE,13,64.0921,69.6195,0,41.0248,6.5587,137.4983,5.4501,0.5755,0.0044,Sandy-Loam,0.4601,1.5134,0.6577,0.3844,0,0.2701,0.3055,low
Riverhead,40.6189,-73.4121,1298.8841,0.2473,80.5994,51.8506,20.0619,30.9024,4.2287,NW,0,86.7876,100.1293,1,27.9649,3.1294,74.0474,16.5378,0.2454,0.4607,Clay,0.4979,1.8083,0.5068,0.4684,0,0.3815,0.3359,moderate
Southampton,40.9818,-72.5967,577.7353,0.0,76.1701,50.0991,0.4574,1.2566,14.6955,S,10,78.0689,84.2486,1,20.375,0.3101,43.6991,4.1068,0.0,0.5163,Clay,0.2397,0.7618,0.6015,0.7077,0,0.5158,0.3145,moderate
East Hampton,40.7886,-72.5809,1004.9064,0.0327,56.8357,100.0,0.8323,5.2122,14.4075,N,1,51.9955,57.447,0,39.8841,4.1311,221.4047,13.809,0.0185,0.9957,Clay-Loam,0.4229,0.3758,0.3755,0.3866,0,0.3001,0.1686,low
Huntington,40.9051,-72.4164,3508.1101,0.659,40.0,100.0,1.4291,9.4289,20.1015,N,0,40.0,49.379,1,30.9804,15.806,278.8682,0.2684,0.4411,0.2799,Clay,0.6009,1.2972,0.8278,0.3875,0,0.1784,0.3879,moderate
Brookhaven,41.1445,-72.2656,595.0625,0.1163,82.1194,61.7039,1.9097,7.0716,7.9985,N,0,79.0478,92.4878,0,75.6161,0.9637,231.8055,2.7132,0.0591,0.6208,Silty-Clay,0.3797,1.2996,0.5813,0.5308,0,0.4123,0.2027,moderate
Islip,40.7496,-71.8411,198.494,0.0147,72.6125,88.4519,4.8294,22.7656,23.1887,SW,0,69.0636,76.6876,0,126.1372,5.856,190.9088,1.5066,0.0122,1.0,Sandy,0.5778,0.3092,0.5602,0.3615,0,0.3738,0.1845,moderate
Smithtown,40.8462,-72.6223,4917.6538,0.8215,46.3072,56.6794,1.4261,18.2823,3.9874,W,0,51.2017,60.4188,0,95.0407,1.1216,15.1024,6.5619,0.584,0.1038,Silty-Clay,0.6234,1.5348,0.4098,0.2358,0,0.1925,0.1888,low
Babylon,41.0533,-72.951,8574.0583,1.0,91.4339,69.1903,1.3914,10.8545,7.7388,E,0,84.5752,91.4339,1,52.3452,3.8375,348.656,19.8954,0.9189,0.0,Sandy,0.3911,1.0789,0.2177,0.5413,0,0.3617,0.2352,moderate
Hempstead,40.7373,-72.1482,4409.8049,0.681,72.2376,85.5747,0.1031,4.7785,4.0881,NW,7,80.2816,89.7723,0,28.8965,0.5084,287.5371,1.4821,0.4822,0.2296,Rocky,0.2697,0.7936,0.6287,0.4553,0,0.3179,0.3084,low
North Hempstead,40.6462,-73.0396,7611.2704,0.9222,94.0865,81.4121,0.0711,3.0193,8.9998,W,5,98.2277,109.0038,1,93.3018,2.9926,105.4159,5.3091,0.6547,0.0873,Rocky,0.2882,0.1206,0.4656,0.7534,0,0.4224,0.2358,moderate
Oyster Bay,40.7739,-72.7537,1640.3418,0.293,79.7063,60.9678,1.6022,2.7213,4.338,E,0,85.1606,95.8697,0,78.8551,7.0563,352.7893,1.1038,0.2989,0.6519,Clay,0.3408,0.9557,0.4924,0.5213,0,0.4007,0.21,moderate
Long Beach,40.6967,-73.3666,1393.4581,0.1344,56.4733,91.4013,1.1531,5.5366,14.7179,E,0,54.1586,62.4829,0,120.3455,2.1353,216.6774,4.1658,0.0717,0.9337,Chalky,0.4295,1.0165,0.4448,0.3606,0,0.3015,0.1416,low
Glen Cove,41.1578,-73.4569,6036.8214,1.0,74.7764,65.2528,3.6549,8.9852,10.5609,W,0,74.0267,82.182,0,58.0501,5.4668,209.6722,3.1175,1.0,0.0,Chalky,0.4043,0.7522,0.4592,0.512,0,0.325,0.2944,low
Freeport,41.0849,-71.8635,5588.8069,0.7612,61.1269,91.1546,0.3503,11.615,3.7537,NW,13,53.9611,61.1269,0,151.8718,7.9347,269.3063,17.8787,0.8347,0.1676,Sandy,0.4281,1.5719,0.0631,0.4137,0,0.2789,0.1014,low
Port Jefferson,40.98,-72.0788,102.3302,0.12,83.7074,60.3454,5.0506,15.7847,12.8258,SW,0,81.0841,89.752,0,58.0634,13.0987,292.2371,4.6892,0.1161,1.0,Sandy-Loam,0.4166,0.382,0.6318,0.4645,0,0.459,0.2415,moderate
Patchogue,41.1229,-72.3168,189.4294,0.0788,105.3373,54.6761,1.1922,1.9191,18.5896,S,0,107.8056,113.8005,0,28.7762,1.3371,236.3323,2.1501,0.0722,0.7117,Clay-Loam,0.1857,0.1504,0.7063,0.7131,0,0.5764,0.2781,moderate
Bay Shore,41.0822,-72.8048,1745.9291,0.3166,84.642,58.2776,0.5422,5.5718,11.1548,E,2,91.1223,103.7883,0,33.5031,2.5484,46.1145,0.6057,0.356,0.5261,Clay,0.3603,0.4334,0.6503,0.6183,0,0.451,0.2985,moderate
Lindenhurst,40.7119,-73.2054,9737.7018,1.0,72.9264,90.0112,0.1018,2.108,3.001,NE,7,67.3906,82.0534,0,73.1059,0.8268,121.7763,0.8199,0.6297,0.0,Clay-Loam,0.2909,0.4404,0.5115,0.5655,0,0.2996,0.2417,low
West Islip,41.1355,-73.2341,3432.2292,0.7386,58.8348,100.0,2.579,4.2847,7.2922,W,0,57.0072,71.708,0,30.9095,24.4533,334.1101,1.2765,0.4101,0.2298,Silty-Clay,0.4515,0.8165,0.5908,0.3953,0,0.2018,0.3034,low
Ronkonkoma,40.9236,-73.0746,159.6301,0.128,82.3581,71.0658,0.2367,17.7988,11.9816,W,11,81.6016,95.2523,0,151.1888,13.0865,80.8616,1.4449,0.0855,0.5301,Chalky,0.319,0.0244,0.4221,0.5809,0,0.4645,0.1586,moderate
Riverhead,41.0845,-72.5663,1907.5107,0.1338,68.441,83.509,6.8746,7.3028,6.869,N,0,61.4621,72.47,0,68.874,3.8822,133.9801,9.5062,0.1414,0.7688,Peaty,0.4037,2.074,0.5096,0.4499,0,0.3269,0.1952,low
Southampton,41.1377,-72.2852,771.8496,0.0007,64.5171,63.5609,5.6599,11.0931,3.9517,S,0,67.4739,79.4825,0,51.4864,9.2269,155.5477,4.1188,0.0004,0.8786,Silty-Clay,0.4887,0.335,0.6677,0.3973,0,0.3431,0.2459,low
East Hampton,40.7908,-72.3777,2998.722,0.4373,51.6002,88.5447,50.3811,52.2228,15.6653,N,0,47.9802,55.8323,0,54.7944,3.6798,158.1858,3.7053,0.3971,0.5815,Silty-Clay,0.6594,4.7815,0.6229,0.1396,0,0.2094,0.448,moderate
Huntington,40.666,-73.0241,8058.4049,1.0,75.0178,78.2362,0.9553,22.1022,6.6861,W,0,74.0409,85.3486,0,40.6796,4.8853,220.6582,0.6095,1.0,0.0,Sandy,0.5577,0.1581,0.6025,0.419,0,0.2619,0.3493,low
Brookhaven,40.7368,-71.8767,6808.5483,1.0,101.174,100.0,3.2334,11.3762,18.596,W,0,98.9142,108.4707,0,9.2194,0.4667,339.5073,9.8356,1.0,0.0,Loamy,0.2037,0.9059,0.5998,0.589,0,0.3826,0.3497,moderate
Islip,40.8563,-72.2456,1762.7432,0.2212,64.485,68.6295,0.9955,3.6271,5.7157,E,9,60.5383,70.3585,0,33.5239,7.038,86.6494,6.4153,0.1914,0.5542,Silty-Clay,0.3233,1.4203,0.5108,0.4959,0,0.3788,0.2457,moderate
Smithtown,41.0908,-72.5576,709.6586,0.137,86.4023,94.1213,2.7788,9.7589,6.4434,S,0,86.3671,98.9449,0,139.0907,0.6832,43.7405,0.3503,0.0746,0.5882,Clay,0.3684,0.7091,0.4405,0.5217,0,0.3513,0.1675,moderate
Babylon,41.1164,-72.4601,1692.901,0.2066,76.7395,92.9092,0.2682,13.4167,5.4293,SE,2,75.6615,83.4807,0,59.2065,8.7454,71.0894,6.1522,0.2235,0.5048,Silty,0.4255,0.8861,0.6523,0.6071,0,0.3329,0.2299,low
Hempstead,40.6042,-72.7867,80.2441,0.0,85.8653,76.6903,2.9636,34.6926,7.2157,NE,0,84.0061,92.1865,0,102.5062,7.6169,319.293,3.9213,0.0,0.5404,Silty,0.4719,0.1674,0.6004,0.4403,0,0.3616,0.1805,moderate
North Hempstead,40.9064,-73.0789,3727.4196,0.4806,92.6028,94.8176,20.5408,23.0312,10.461,NW,0,88.9605,103.2069,0,104.4929,6.1678,232.4919,0.4263,0.2789,0.3842,Clay,0.3868,2.1001,0.5846,0.4659,0,0.3494,0.2643,low
Oyster Bay,40.8504,-72.8948,3731.9935,0.5297,60.3624,93.3641,2.2626,23.9942,4.0962,E,0,61.96,67.5223,0,48.5234,0.1842,102.9264,3.0652,0.2996,0.3241,Loamy,0.5532,0.489,0.5375,0.2999,0,0.1969,0.2694,low
Long Beach,40.7333,-72.2117,8609.3104,0.8648,80.4285,81.5803,1.6684,28.8956,3.5756,W,0,88.6966,98.5529,0,79.7585,1.8058,293.7409,3.315,0.9831,0.159,Loamy,0.4597,0.5979,0.5975,0.4534,0,0.2902,0.2852,low
Glen Cove,40.6719,-73.4755,7488.9792,0.9024,93.4379,67.1405,5.2942,30.1138,2.254,NW,0,94.1373,108.2653,0,10.4252,1.5266,310.0932,0.9063,0.8739,0.0869,Sandy,0.4912,0.7772,0.8485,0.5973,0,0.3641,0.4294,moderate
Freeport,40.8026,-73.3027,1284.5981,0.3195,49.5135,100.0,0.9798,11.0698,2.037,E,13,54.4941,65.5977,0,131.7584,2.2325,304.7452,14.566,0.3452,0.5057,Chalky,0.4699,0.6616,0.22,0.4346,1,0.2765,0.0921,low
Port Jefferson,41.1657,-73.4218,5191.2286,0.7703,70.328,98.2503,0.1369,10.0746,3.0275,NE,3,63.3769,73.8409,0,124.7596,0.4586,330.8136,9.4848,0.8591,0.2082,Clay-Loam,0.444,0.3685,0.4594,0.3779,0,0.2362,0.1782,low
Patchogue,40.7939,-73.4308,9079.0041,1.0,82.415,65.1658,0.0387,5.2006,5.6904,W,1,83.2039,90.7013,0,71.6781,13.8198,90.8068,5.5285,0.9002,0.0,Loamy,0.2892,0.7306,0.622,0.5853,0,0.3576,0.2568,moderate
Bay Shore,40.9113,-72.0457,5443.3383,0.9566,67.696,63.5937,3.5073,17.4666,8.9028,NE,0,62.2092,70.6419,0,60.7906,4.035,271.8151,3.1022,0.8248,0.0352,Peaty,0.4647,0.8175,0.7363,0.315,0,0.2722,0.3116,low
Lindenhurst,41.0218,-72.3038,1724.8992,0.306,60.7577,84.5007,1.4878,9.0656,10.1267,NW,0,53.373,66.8935,0,49.0168,1.823,165.7942,2.6531,0.2452,0.6513,Sandy,0.4413,0.194,0.6451,0.3472,0,0.2826,0.2604,low
West Islip,40.8182,-72.6939,1158.7024,0.1073,78.902,64.6582,7.9855,19.3001,8.6594,SE,0,75.2051,85.7973,0,110.5607,2.529,303.1195,5.263,0.0774,0.7519,Rocky,0.3795,0.9965,0.5159,0.4422,0,0.399,0.1748,moderate
Ronkonkoma,41.1831,-73.3337,106.5417,0.0878,60.3525,86.8356,5.5343,11.1284,17.4211,E,0,66.312,76.4594,0,86.2385,2.9638,262.2566,3.942,0.0706,0.7127,Sandy-Loam,0.4864,0.4208,0.6402,0.3545,0,0.3023,0.1975,low
Riverhead,41.1775,-72.6643,5970.0984,0.9375,51.5381,100.0,0.8465,13.9954,20.521,SW,5,56.2882,62.284,1,37.2354,4.5889,279.5211,0.3215,0.9766,0.0748,Rocky,0.4603,1.1608,0.729,0.4201,0,0.2332,0.4131,moderate
Southampton,40.7511,-72.6951,952.0668,0.1709,80.7049,68.7175,0.0611,17.4607,6.706,E,6,81.9199,87.0802,0,17.9639,3.625,236.2183,3.5924,0.1574,0.9255,Sandy,0.4056,0.479,0.6402,0.4909,0,0.4427,0.2995,moderate
East Hampton,40.8983,-73.2056,1621.4141,0.5262,55.0347,90.3368,11.5138,13.0971,4.144,N,0,47.3712,62.0081,0,14.7514,12.5908,63.8744,8.2099,0.5919,0.4436,Silty-Clay,0.4475,1.5186,0.5628,0.3339,0,0.2134,0.34,low
Huntington,40.7805,-72.7625,1254.0806,0.1994,43.4998,98.7705,7.2044,25.0979,23.9846,S,0,42.5184,51.2882,0,109.7801,3.4355,196.2097,3.0739,0.1616,0.7194,Clay-Loam,0.6964,2.1344,0.5376,0.2989,0,0.2255,0.2023,low
Brookhaven,40.7709,-72.8225,848.319,0.2563,49.1656,100.0,5.4123,13.184,15.3647,S,0,50.6741,61.7063,0,48.2047,24.2413,354.4811,0.2668,0.2371,0.6949,Sandy-Loam,0.4818,0.8717,0.5677,0.3547,0,0.2364,0.2823,low
Islip,40.6221,-72.4531,1849.3619,0.2379,55.5035,56.9945,0.6171,19.2389,14.7328,N,8,56.3812,62.1784,0,70.8448,9.5333,337.4597,7.7154,0.2241,0.4884,Rocky,0.4874,0.0873,0.4939,0.3946,0,0.3635,0.1918,moderate
Smithtown,40.9657,-72.4203,107.5837,0.0144,80.7814,66.4307,1.8907,7.5348,5.5431,W,0,71.5624,83.3936,0,53.0347,1.1692,15.5425,1.1242,0.0132,0.7654,Sandy-Loam,0.4025,0.5912,0.7245,0.5371,0,0.4052,0.2527,moderate
Babylon,40.9016,-73.423,1315.3293,0.3963,59.9604,91.193,7.2695,12.0344,13.0071,S,0,55.5088,69.8345,1,14.953,13.339,59.3333,1.4962,0.3931,0.3185,Peaty,0.4461,0.8914,0.5387,0.3941,0,0.2489,0.3898,moderate
Hempstead,40.6309,-72.8632,1859.7082,0.2473,72.0727,98.7576,50.7641,75.4223,8.7008,NE,0,71.7523,82.5089,0,10.6973,0.6186,47.4224,0.8999,0.1647,0.6269,Peaty,0.7823,4.2116,0.9613,0.2025,0,0.2307,0.5631,moderate
North Hempstead,40.7672,-72.436,7181.785,1.0,70.6934,74.2054,3.7692,6.6616,7.6431,NW,0,73.3749,79.6361,0,35.1845,8.5036,261.3528,2.004,0.8587,0.0,Peaty,0.3403,1.4119,0.7455,0.4709,0,0.2856,0.3524,moderate
Oyster Bay,41.145,-72.6447,675.3471,0.1833,62.7826,58.1821,10.881,29.4736,7.635,NW,0,51.802,62.7826,1,37.6759,2.3952,294.4027,7.0684,0.105,0.5385,Sandy,0.6223,2.6062,0.5633,0.2225,0,0.2891,0.3398,low
Long Beach,40.7437,-72.044,9548.7409,0.9438,91.7682,78.2347,4.3231,10.94,10.7413,S,0,90.9576,103.6211,0,37.6565,10.5176,76.8641,3.6635,0.7259,0.0661,Clay-Loam,0.3335,0.9404,0.6723,0.5811,0,0.3708,0.326,moderate
Glen Cove,40.6869,-72.3802,1441.5621,0.3035,84.5332,63.7496,52.687,59.9044,17.7373,S,0,85.2484,94.3126,0,38.549,10.1269,182.107,1.1463,0.2554,0.7917,Sandy,0.5788,4.731,0.7529,0.3561,0,0.4192,0.4999,moderate
Freeport,40.8937,-73.223,1002.3584,0.2643,47.2834,77.7849,0.65,4.3384,25.0847,N,0,51.5315,65.3299,0,181.2697,8.1976,302.6531,10.5117,0.2528,0.7397,Silty,0.4755,0.7535,0.3091,0.4191,0,0.3193,0.1073,low
Port Jefferson,41.1914,-73.38,3544.5405,0.6529,86.7345,62.5941,5.6615,14.1722,6.1779,W,0,90.1988,101.6856,1,101.4588,7.804,263.8086,10.5839,0.7609,0.3031,Silty-Clay,0.411,0.8468,0.4641,0.4958,0,0.3787,0.2361,moderate
Patchogue,40.7452,-72.4079,1691.0378,0.1248,63.4046,83.1894,6.6132,10.5468,8.9964,SE,0,66.3175,80.31,0,59.8302,1.8169,195.2054,10.2234,0.1149,0.9706,Silty-Clay,0.4232,0.8107,0.357,0.3487,1,0.343,0.185,low
Bay Shore,41.0033,-73.4549,143.0109,0.0,57.0042,80.7263,0.0207,0.4213,7.5255,S,0,53.0045,64.2395,0,47.2778,0.4219,212.5252,1.3643,0.0,0.5915,Peaty,0.3918,0.3961,0.6793,0.3696,0,0.273,0.2422,low
Lindenhurst,41.057,-72.5042,130.0192,0.0,78.2973,43.9381,2.5179,5.6924,10.3315,SW,0,68.7573,78.2973,0,48.5722,2.579,183.0098,3.0005,0.0,1.0,Silty,0.3533,0.1764,0.5934,0.5321,0,0.4841,0.2342,moderate
West Islip,40.7426,-71.9016,9204.1944,0.9926,58.114,100.0,52.45,52.514,6.9588,S,0,56.1487,64.2456,0,84.0811,0.9529,107.1174,20.9951,0.9368,0.0044,Loamy,0.6261,7.8867,0.326,0.2416,0,0.1392,0.3545,moderate
Ronkonkoma,41.0369,-72.5217,1682.8958,0.3425,58.5174,100.0,6.9494,45.2791,22.8007,SE,0,63.5255,70.5435,0,46.9386,5.9364,203.4079,7.3923,0.1883,0.6942,Loamy,0.7381,1.4695,0.544,0.1985,0,0.2415,0.2778,low
Riverhead,40.8207,-72.8401,3637.5616,0.624,78.1878,86.8602,14.2322,47.9721,5.1281,N,0,85.155,99.2433,0,94.548,2.124,247.9987,0.1377,0.4231,0.2606,Peaty,0.5479,2.3143,0.7783,0.3808,0,0.2701,0.3107,low
Southampton,40.9794,-72.4064,967.5831,0.0277,105.3793,43.7071,20.7476,25.7754,6.1834,SE,0,108.9321,115.0,0,64.6558,18.568,314.3962,0.3371,0.0209,1.0,Rocky,0.3903,1.3559,0.741,0.6207,0,0.5598,0.3128,moderate
East Hampton,40.9801,-72.721,87.2734,0.0526,78.7746,73.7129,0.8309,13.8641,5.5963,N,19,80.9213,92.6852,0,182.3345,5.1218,229.0649,3.1175,0.0437,1.0,Sandy,0.287,0.0953,0.2947,0.6281,0,0.5264,0.1325,moderate
Huntington,40.9215,-72.5725,161.5919,0.088,40.825,99.4072,0.1645,4.408,7.3011,NE,2,42.7232,50.7328,0,44.7862,8.6434,274.0038,11.9966,0.0468,0.551,Peaty,0.4559,0.1622,0.3511,0.3885,0,0.1923,0.1668,low
Brookhaven,40.6542,-71.8995,550.2987,0.1477,100.1766,72.8759,1.1697,12.2895,3.1914,N,0,97.396,104.2365,0,106.3717,0.7108,57.6258,3.8686,0.0883,0.7022,Chalky,0.3032,1.1081,0.4592,0.6694,0,0.4621,0.1524,moderate
Islip,41.1012,-72.8436,1354.8345,0.3339,72.715,90.3961,0.605,16.9747,5.6659,NE,3,72.0647,84.6292,0,19.5708,9.903,166.1607,3.4439,0.2316,0.7905,Sandy-Loam,0.4639,0.1181,0.7136,0.4624,0,0.336,0.3107,low
Smithtown,40.7925,-71.866,1643.688,0.3573,75.5148,67.6785,0.8413,30.1701,10.2728,NE,1,83.8601,93.6017,0,29.5235,12.804,3.3594,0.5573,0.4217,0.5388,Silty-Clay,0.4826,0.7251,0.7507,0.51,0,0.3737,0.3441,moderate
Babylon,40.7119,-71.9609,1815.1485,0.3484,93.4059,69.1864,3.5984,8.7102,10.2287,N,0,88.6931,95.951,0,166.8003,3.338,88.8044,5.3469,0.255,0.7196,Loamy,0.3743,0.3351,0.4376,0.5564,0,0.4504,0.1565,moderate
Hempstead,40.6245,-73.1672,5065.6131,0.8373,93.907,74.515,5.4817,20.774,9.3022,SW,0,101.9809,113.1471,0,91.8346,4.6602,261.5262,8.6328,0.7011,0.1484,Clay,0.4239,1.1805,0.5131,0.5802,0,0.3809,0.215,moderate
North Hempstead,40.9545,-73.3821,1731.886,0.1226,76.7353,99.7962,0.4109,3.5024,16.8803,E,26,75.1251,80.5285,0,71.7595,7.2368,357.0516,2.3936,0.0781,0.6693,Loamy,0.2327,0.2457,0.648,0.6933,0,0.5183,0.2067,moderate
Oyster Bay,41.0065,-73.3287,665.9476,0.154,80.4732,86.2837,0.9321,47.3217,10.5102,N,3,87.1003,95.362,0,212.7966,0.9609,35.7041,7.4719,0.1428,0.5923,Silty-Clay,0.5202,0.8383,0.3243,0.3356,0,0.3375,0.155,low
Long Beach,40.61,-73.469,8848.3922,1.0,81.6959,86.8183,5.2798,5.5408,16.5735,S,0,74.6618,84.3474,0,47.8015,3.4915,144.538,16.6878,0.6965,0.0,Sandy-Loam,0.295,0.7893,0.2605,0.5292,0,0.331,0.1993,low
Glen Cove,40.9073,-73.3394,691.233,0.1424,87.7061,72.6337,50.1276,59.3791,25.095,SW,0,90.6356,97.1152,0,106.2016,2.543,288.0255,1.1393,0.0918,0.8862,Silty-Clay,0.5618,3.5601,0.601,0.3633,0,0.4445,0.3673,moderate
Freeport,40.7359,-72.3389,1095.9309,0.055,69.5652,100.0,0.1938,10.9674,13.1936,SW,5,65.8814,80.7279,0,111.5034,0.7913,73.4528,3.7047,0.0474,0.7282,Clay,0.4046,0.1451,0.5652,0.6107,1,0.3811,0.1528,moderate
Port Jefferson,40.9871,-73.379,8479.7152,0.8919,54.6889,97.3331,50.3554,62.0043,3.2029,S,0,47.6126,54.7036,0,143.6944,2.2906,199.8306,1.6923,0.4494,0.0927,Peaty,0.7744,5.5276,0.5322,0.1428,0,0.1057,0.3971,moderate
Patchogue,40.7046,-72.9577,3624.3807,0.7094,75.1425,65.9982,1.8088,3.0915,9.5214,E,0,76.2352,82.5387,0,17.4468,0.353,263.9057,7.8717,0.3585,0.2455,Silty,0.2563,1.1904,0.6228,0.4371,0,0.3466,0.2879,low
Bay Shore,41.0146,-72.0637,84.3877,0.0101,75.7206,99.6182,0.3261,28.2182,8.7107,SW,4,80.7679,87.8033,0,47.5568,0.1308,221.7548,4.3089,0.0066,0.895,Clay,0.4609,0.0843,0.601,0.4442,0,0.3482,0.2444,low
Lindenhurst,40.832,-73.4604,7916.8943,1.0,69.3781,92.8417,6.8888,8.8878,18.5792,NE,0,65.1534,77.844,1,63.8443,0.7261,67.6889,5.0336,0.5257,0.0,Silty-Clay,0.4264,1.7195,0.4667,0.3264,0,0.2488,0.3016,low
West Islip,41.162,-72.1154,1580.0548,0.2662,61.2435,80.6082,1.1838,10.9323,7.4661,NW,0,53.7485,63.0035,0,142.1561,16.4998,127.9384,7.9953,0.1532,0.8707,Silty-Clay,0.4497,0.5417,0.3341,0.3604,0,0.307,0.121,low
Ronkonkoma,40.6825,-73.0208,1461.7214,0.2466,86.6592,64.8121,1.3924,3.9114,4.669,E,0,86.2,96.8542,0,69.7025,3.9873,282.165,2.5207,0.1818,0.5917,Chalky,0.3842,0.1671,0.5977,0.5718,0,0.4119,0.2152,moderate
Riverhead,40.8046,-73.2991,1540.9227,0.3506,55.6461,95.061,0.5665,4.2368,5.8808,W,2,55.2089,60.419,0,111.6648,16.8809,199.5215,12.3308,0.3723,0.7008,Chalky,0.4619,0.3376,0.2655,0.4394,0,0.2613,0.1014,low
Southampton,40.6681,-72.3155,6570.4333,0.9484,59.8034,95.0658,1.2734,9.1801,3.2919,S,0,62.545,67.8893,0,15.9329,2.8326,1.8827,3.8074,0.854,0.0534,Clay-Loam,0.5265,0.2655,0.6479,0.412,0,0.1813,0.353,moderate
East Hampton,41.1548,-72.4308,877.6986,0.1559,69.7645,85.1007,2.1689,7.5679,0.5198,E,0,74.5125,83.9707,0,39.3382,1.8685,273.9567,0.8596,0.1339,0.7609,Chalky,0.3995,0.7429,0.5937,0.4129,0,0.3025,0.2725,low
Huntington,41.1264,-72.0083,1018.544,0.1235,48.2565,99.7158,2.782,4.5282,22.8609,N,0,47.9594,61.1259,0,124.4474,3.5275,12.7121,5.952,0.0871,1.0,Sandy,0.5341,0.881,0.494,0.3744,0,0.2862,0.1419,low
Brookhaven,40.7548,-72.2504,772.3966,0.0853,52.2531,100.0,2.8038,4.6784,8.0925,NW,0,61.5306,75.383,0,43.592,2.8947,268.4642,7.8815,0.0983,0.5857,Silty,0.5526,0.229,0.5091,0.343,0,0.2051,0.2168,low
Islip,40.996,-72.1341,1862.6758,0.2795,46.3047,100.0,1.725,7.1403,3.5234,E,0,47.4259,53.293,0,50.6058,0.5584,72.893,1.9046,0.2174,0.4153,Sandy-Loam,0.5743,0.4773,0.7436,0.315,0,0.1514,0.2694,low
Smithtown,41.0903,-73.0205,137.5088,0.0451,88.6853,73.6484,4.6943,18.8529,19.5146,NE,0,86.9531,97.3368,0,140.6685,5.1197,344.9065,9.7308,0.0253,1.0,Clay,0.331,1.1033,0.4521,0.5409,0,0.485,0.1329,moderate
Babylon,40.9331,-73.1984,110.1277,0.0,78.2605,91.1634,8.401,31.2254,21.3592,NW,0,70.2026,84.3349,0,23.8479,1.217,132.4587,11.8299,0.0,0.8074,Silty-Clay,0.4795,1.8014,0.5408,0.3392,0,0.3643,0.2676,moderate
Hempstead,40.9178,-72.224,119.3009,0.1455,85.6324,57.1327,2.8298,3.7086,8.8898,N,0,84.3191,93.1988,0,29.1113,4.8325,117.6954,1.6211,0.0843,0.9339,Clay-Loam,0.3057,0.5345,0.5889,0.5439,1,0.4933,0.2771,moderate
North Hempstead,40.7451,-72.1284,192.0925,0.0,53.9342,97.6084,0.1144,5.1084,3.0757,SE,7,52.2523,65.548,0,14.2692,5.252,53.5997,20.5285,0.0,1.0,Clay-Loam,0.4436,1.5067,0.2131,0.3881,0,0.2916,0.1608,low
Oyster Bay,40.6559,-71.8161,73.0027,0.0,87.4958,98.6421,5.0138,6.0701,5.9734,S,0,92.2974,98.6343,0,144.3675,0.8245,110.0175,0.7583,0.0,0.5437,Sandy-Loam,0.3611,0.6366,0.3403,0.5957,0,0.3512,0.152,moderate
Long Beach,41.1383,-72.7985,1379.3447,0.1859,83.8145,70.4406,0.4776,0.645,6.9759,NW,4,86.127,100.4809,1,100.1936,0.3166,315.5943,1.1283,0.2067,0.9105,Silty,0.2468,0.2845,0.421,0.6875,0,0.4797,0.206,moderate
Glen Cove,41.1403,-72.8676,125.8833,0.1657,57.0774,77.0391,2.1785,13.0172,8.2588,S,0,51.1805,63.6948,0,98.4767,7.588,358.6804,1.0181,0.1401,0.679,Clay,0.4953,1.0938,0.6672,0.2829,0,0.2702,0.1972,low
Freeport,40.9799,-72.1801,1417.1814,0.2559,96.8971,56.0804,1.0593,10.2837,3.8478,E,0,97.7583,112.1717,0,38.445,3.0791,132.5914,11.2211,0.2537,0.638,Loamy,0.2066,0.4222,0.5031,0.5245,0,0.4679,0.2207,moderate
Port Jefferson,40.8034,-72.9206,2635.8264,0.5425,64.9703,68.6734,1.0297,2.8092,13.81,SW,0,68.3279,80.0941,0,13.1819,0.2996,161.4998,5.3108,0.6483,0.4294,Chalky,0.4791,0.4379,0.6665,0.4173,0,0.3226,0.3293,low
Patchogue,40.8095,-71.9177,1808.1859,0.1528,72.6349,68.6476,4.3185,6.9818,1.483,N,0,80.275,88.9091,0,9.5134,26.3597,259.9455,0.825,0.0905,0.973,Peaty,0.3694,0.6667,0.5505,0.4613,0,0.3773,0.3147,moderate
Bay Shore,41.0356,-72.0407,1898.1774,0.3431,92.9422,62.677,9.5183,9.7583,15.0866,SE,0,97.3798,111.7616,0,125.0577,0.2976,319.0305,2.902,0.2375,0.3373,Clay-Loam,0.3247,1.6423,0.3695,0.6025,0,0.4493,0.183,moderate
Lindenhurst,41.1383,-72.7707,134.77,0.1114,87.6559,50.3229,4.7976,22.8125,16.895,N,0,91.4602,99.2158,0,75.1744,5.9378,213.496,4.7764,0.0865,0.7409,Chalky,0.3943,1.1917,0.6251,0.48,0,0.4807,0.2213,moderate
West Islip,41.1323,-72.2235,154.4976,0.034,82.1623,74.9369,0.7534,37.5192,6.3573,S,3,82.4628,90.7845,0,85.5291,20.5765,140.9493,0.4358,0.027,0.9481,Chalky,0.5442,0.3071,0.6568,0.42,0,0.3989,0.2244,moderate
